Date,Hotel_ID,ADR,Occupancy Rate,RevPAR,Available Rooms,Booked Rooms,Cancelations,No Shows,Deposits,Customer Type,Stay Length,Total Charges,Market Segment,Booking Channel,Special Requests,Meal Plan,Check-in Day of Week,Advance Booking Days,Revenue from Extras
2022-01-01,272,215.96,0.82,177.09,82,67,3,1,2789.01,Leisure,2,431.92,Direct,Website,2,None,Tue,2,165.82
2022-01-02,147,105.88,0.53,56.12,80,42,4,4,3567.95,Group,8,847.04,Direct,Agent,0,Half-board,Tue,58,2.45
2022-01-03,217,206.43,0.81,167.21,134,109,6,4,2189.25,Group,4,825.72,Agent,Agent,0,None,Sun,17,63.95
2022-01-04,292,174.8,0.97,169.56,198,192,0,4,1082.61,Group,4,699.2,Online,Phone,3,Breakfast,Thu,1,40.03
2022-01-05,423,188.57,0.58,109.37,119,69,7,3,569.33,Leisure,5,942.85,Agent,Agent,4,None,Fri,54,3.76
2022-01-06,351,201.47,0.86,173.26,138,119,4,1,2240.34,Group,6,1208.82,Direct,Phone,3,None,Wed,1,173.74
2022-01-07,295,104.56,0.8,83.65,199,159,3,0,3842.32,Business,4,418.24,Agent,Website,2,None,Tue,51,107.52
2022-01-08,459,128.78,0.59,75.98,120,71,3,0,4957.48,Business,9,1159.02,Agent,Website,2,Breakfast,Sun,11,147.39
2022-01-09,109,193.13,0.5,96.56,63,32,3,4,2583.83,Leisure,10,1931.3,Online,Website,3,Half-board,Tue,29,43.52
2022-01-10,311,17.22,0.5,8.61,129,64,2,2,1827.13,Leisure,11,189.42,Direct,Agent,2,Half-board,Sun,2,24.93
2022-01-11,377,225.67,0.77,173.77,161,124,1,2,2060.0,Business,2,451.34,Agent,Phone,3,None,Sat,24,31.18
2022-01-12,342,177.66,0.97,172.33,93,90,3,3,913.69,Business,9,1598.94,Online,Phone,1,Half-board,Thu,55,169.18
2022-01-13,392,147.71,0.82,121.12,117,96,8,0,2525.51,Group,10,1477.1,Agent,Website,0,Breakfast,Fri,28,51.69
2022-01-14,187,161.03,0.86,138.49,59,51,1,4,3322.08,Business,7,1127.21,Direct,Agent,4,Half-board,Thu,29,123.53
2022-01-15,170,98.5,0.75,73.88,104,78,9,3,3306.1,Business,2,197.0,Direct,Website,4,None,Tue,44,70.89
2022-01-16,188,132.5,0.79,104.68,138,109,8,4,557.46,Business,4,530.0,Online,Phone,4,Half-board,Wed,4,88.08
2022-01-17,496,205.01,0.56,114.81,172,96,8,0,3351.79,Group,1,205.01,Online,Phone,2,None,Mon,30,171.03
2022-01-18,414,214.9,0.94,202.01,105,99,4,2,3495.59,Group,4,859.6,Agent,Website,2,Breakfast,Thu,24,146.86
2022-01-19,293,284.81,0.88,250.63,99,87,6,1,2759.11,Leisure,13,3702.53,Direct,Phone,1,Half-board,Tue,39,67.13
2022-01-20,139,146.3,1.0,146.3,70,70,3,1,4751.96,Group,7,1024.1,Agent,Website,1,Breakfast,Sun,29,179.44
2022-01-21,187,117.07,0.65,76.1,111,72,6,4,1661.2,Business,14,1638.98,Direct,Agent,2,Breakfast,Wed,20,63.16
2022-01-22,274,124.29,0.61,75.82,90,55,9,3,4333.62,Leisure,14,1740.06,Online,Agent,0,Half-board,Sat,52,150.05
2022-01-23,188,99.1,0.56,55.5,176,99,5,1,1284.0,Business,5,495.5,Agent,Agent,2,Half-board,Sat,22,157.97
2022-01-24,437,146.11,0.98,143.19,117,115,8,3,1678.8,Business,9,1314.99,Agent,Phone,3,None,Fri,23,72.15
2022-01-25,265,169.14,0.89,150.53,87,77,9,0,1422.04,Business,8,1353.12,Online,Agent,2,Breakfast,Sat,11,104.9
2022-01-26,125,148.29,0.58,86.01,181,105,0,4,4483.94,Business,1,148.29,Agent,Agent,0,Breakfast,Tue,52,91.89
2022-01-27,433,204.82,0.78,159.76,83,65,7,3,4070.87,Leisure,13,2662.66,Agent,Phone,2,Half-board,Tue,29,124.9
2022-01-28,172,138.29,0.71,98.19,139,99,6,4,2527.18,Leisure,14,1936.06,Direct,Phone,2,Half-board,Wed,12,145.97
2022-01-29,365,132.63,0.58,76.93,72,42,4,1,2201.1,Group,6,795.78,Direct,Website,2,Half-board,Fri,46,182.43
2022-01-30,215,120.94,0.58,70.15,116,67,8,2,558.06,Group,3,362.82,Agent,Website,1,None,Fri,33,116.77
2022-01-31,343,68.37,0.98,67.0,107,105,4,0,3658.73,Business,14,957.18,Direct,Agent,2,Breakfast,Sun,3,180.47
2022-02-01,297,71.61,0.65,46.55,108,70,5,1,4842.22,Leisure,7,501.27,Agent,Phone,3,Half-board,Tue,7,198.58
2022-02-02,435,91.04,0.97,88.31,170,165,5,4,4003.34,Leisure,6,546.24,Agent,Agent,3,Half-board,Sun,58,109.15
2022-02-03,438,215.07,0.54,116.14,97,52,6,3,1548.84,Business,13,2795.91,Agent,Phone,4,Half-board,Wed,43,50.42
2022-02-04,199,194.76,0.73,142.17,83,61,7,4,1690.26,Business,7,1363.32,Agent,Phone,1,Breakfast,Sat,37,128.5
2022-02-05,277,218.75,0.56,122.5,168,94,3,3,2402.61,Group,2,437.5,Direct,Website,0,None,Wed,12,145.84
2022-02-06,343,83.39,0.5,41.7,57,28,8,4,2334.79,Business,5,416.95,Direct,Agent,3,None,Tue,24,129.66
2022-02-07,385,51.57,0.78,40.22,79,62,9,0,1545.52,Leisure,6,309.42,Direct,Phone,1,None,Sun,49,11.14
2022-02-08,247,117.0,0.56,65.52,70,39,1,2,4062.28,Group,13,1521.0,Direct,Phone,0,None,Mon,26,37.73
2022-02-09,247,158.79,0.86,136.56,83,71,1,3,4037.39,Group,12,1905.48,Online,Phone,3,Half-board,Sun,53,47.72
2022-02-10,498,174.93,0.85,148.69,163,139,8,1,3679.12,Leisure,7,1224.51,Direct,Phone,0,None,Wed,15,49.0
2022-02-11,388,202.4,0.59,119.42,170,100,1,2,522.32,Group,9,1821.6,Direct,Agent,1,Half-board,Sun,53,187.82
2022-02-12,365,164.21,0.97,159.28,60,58,9,0,4628.2,Group,12,1970.52,Direct,Phone,4,Half-board,Sat,22,133.6
2022-02-13,285,237.13,0.86,203.93,126,108,4,3,2019.01,Leisure,12,2845.56,Agent,Agent,4,Breakfast,Mon,35,46.44
2022-02-14,227,138.87,0.65,90.27,97,63,8,4,629.68,Group,4,555.48,Direct,Phone,1,Breakfast,Thu,33,33.11
2022-02-15,132,104.35,0.85,88.7,180,153,9,4,3368.39,Group,2,208.7,Online,Website,1,Breakfast,Sat,58,9.66
2022-02-16,131,65.94,0.87,57.37,103,90,3,2,3819.2,Leisure,1,65.94,Agent,Phone,4,Half-board,Sun,16,56.6
2022-02-17,302,105.55,0.67,70.72,119,80,1,4,3519.32,Business,13,1372.15,Direct,Website,2,None,Sun,44,67.34
2022-02-18,344,162.11,0.69,111.86,197,136,6,2,2259.12,Leisure,2,324.22,Direct,Website,2,Half-board,Sun,55,56.14
2022-02-19,251,105.56,0.68,71.78,178,121,4,2,4375.25,Group,12,1266.72,Agent,Phone,2,Breakfast,Tue,0,143.96
2022-02-20,263,196.84,0.81,159.44,195,158,9,1,2104.29,Group,10,1968.4,Online,Phone,0,Half-board,Sat,54,113.4
2022-02-21,470,220.62,0.95,209.59,160,152,9,1,2922.16,Leisure,2,441.24,Direct,Phone,2,Breakfast,Sun,4,20.66
2022-02-22,283,31.52,0.59,18.6,108,64,5,1,4647.9,Leisure,7,220.64,Online,Website,4,Breakfast,Wed,6,129.87
2022-02-23,128,193.2,0.94,181.61,190,179,0,4,3775.53,Leisure,7,1352.4,Direct,Agent,2,Breakfast,Sun,50,62.11
2022-02-24,390,38.02,0.51,19.39,129,66,7,3,926.01,Leisure,8,304.16,Online,Phone,3,Breakfast,Wed,57,148.27
2022-02-25,228,170.07,0.83,141.16,168,139,6,3,3997.12,Leisure,6,1020.42,Direct,Phone,4,Half-board,Fri,30,97.79
